N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,카카오페이,"35,700",350,+0.99%,500,"47,368","132,682",42.88,"559,865",-180.30,-2.45,
61,삼성엔지니어링,"24,150",300,+1.26%,"5,000","47,334","196,000",40.45,"777,992",11.11,20.67,
62,LG디스플레이,"13,150",400,+3.14%,"5,000","47,053","357,816",19.37,"1,574,679",22.36,9.68,
63,SK바이오팜,"58,500",400,+0.69%,500,"45,813","78,313",6.30,"74,923",-58.91,15.75,
64,삼성중공업,"5,200",50,+0.97%,"1,000","45,760","880,000",15.57,"1,731,253",-6.87,-36.89,
65,맥쿼리인프라,"11,250",200,+1.81%,0,"45,545","404,846",13.23,"946,119",N/A,N/A,
66,유한양행,"60,400",600,+1.00%,"1,000","44,232","73,231",20.01,"129,113",45.93,5.45,
67,한국타이어앤테크놀로지,"35,300","1,250",-3.42%,500,"43,728","123,875",36.02,"300,464",6.41,7.69,
68,GS,"46,750",750,+1.63%,"5,000","43,438","92,915",25.04,"97,940",2.00,15.55,
69,한온시스템,"7,850",50,+0.64%,100,"41,903","533,800",16.54,"442,293",22.43,13.83,
70,현대건설,"37,250","2,350",+6.73%,"5,000","41,480","111,356",24.32,"1,351,595",7.35,5.89,
71,코웨이,"56,100",800,+1.45%,500,"41,402","73,800",61.58,"91,345",8.42,27.41,
72,SK아이이테크놀로지,"56,500","4,500",+8.65%,"1,000","40,283","71,298",8.90,"1,244,887",312.15,5.57,
73,DB손해보험,"56,300",0,0.00%,500,"39,860","70,800",42.69,"142,614",4.15,13.38,
74,미래에셋증권,"6,450",100,+1.57%,"5,000","39,688","615,316",12.65,"385,322",5.23,11.66,
75,SKC,"104,500","1,000",+0.97%,"5,000","39,572","37,868",15.92,"212,499",13.48,11.60,
76,오리온,"99,900","1,600",-1.58%,500,"39,497","39,536",35.84,"74,422",13.52,12.75,
77,넷마블,"45,450",850,+1.91%,100,"39,066","85,954",23.32,"154,205",-167.71,4.29,
78,금호석유,"133,000","2,000",+1.53%,"5,000","38,988","29,314",21.20,"41,912",2.83,47.76,
79,현대제철,"28,950",850,+3.02%,"5,000","38,633","133,446",20.97,"520,924",1.99,8.54,
80,현대미포조선,"93,700","1,900",+2.07%,"5,000","37,426","39,942",19.60,"244,665",-88.82,-7.11,
81,메리츠화재,"31,700",250,+0.79%,500,"36,069","113,783",11.18,"68,535",4.71,26.12,
82,삼성카드,"30,600",300,-0.97%,"5,000","35,453","115,859",6.54,"67,650",6.06,7.53,
83,롯데지주,"33,700","1,100",+3.37%,200,"35,354","104,909",9.84,"196,753",10.60,4.61,
84,두산밥캣,"35,200","1,700",+5.07%,500,"35,288","100,249",26.10,"451,901",8.43,9.19,
85,한화에어로스페이스,"68,200","1,900",+2.87%,"5,000","34,530","50,630",22.09,"1,039,725",22.35,9.21,
86,한국가스공사,"35,300",500,+1.44%,"5,000","32,586","92,313",10.70,"164,607",2.37,11.63,
87,현대오토에버,"117,500","1,000",-0.84%,500,"32,223","27,424",2.12,"33,993",41.61,7.26,
88,BGF리테일,"186,000",500,-0.27%,"1,000","32,148","17,284",32.30,"32,965",19.09,19.61,
89,한미약품,"254,500","1,500",+0.59%,"2,500","31,349","12,318",15.29,"21,849",39.78,8.75,
90,에스디바이오센서,"30,150",600,+2.03%,500,"31,136","103,271",14.61,"208,384",2.67,72.47,
91,KODEX KOFR금리액티브(합성),"101,145",0,0.00%,0,"30,898","30,548",2.03,"48,445",N/A,N/A,
92,TIGER 차이나전기차SOLACTIVE,"13,275",485,+3.79%,0,"30,771","231,800",0.82,"4,210,086",N/A,N/A,
93,현대해상,"33,850",550,+1.65%,500,"30,262","89,400",34.34,"170,383",5.53,8.82,
94,NH투자증권,"9,020",50,+0.56%,"5,000","29,916","331,666",12.82,"191,444",4.64,14.77,
95,쌍용C&E,"5,800",120,+2.11%,100,"29,224","503,860",2.92,"324,850",24.68,11.12,
96,현대차2우B,"79,300",500,-0.63%,"5,000","28,933","36,485",60.20,"52,817",3.52,N/A,
97,삼성증권,"32,100",350,+1.10%,"5,000","28,665","89,300",26.99,"144,314",4.09,16.94,
98,일진머티리얼즈,"61,900","1,300",+2.15%,500,"28,543","46,111",9.87,"316,807",48.47,7.85,
99,제일기획,"24,250",200,-0.82%,200,"27,897","115,041",32.54,"180,489",15.19,15.58,
100,현대로템,"25,500","1,150",+4.72%,"5,000","27,831","109,142",7.54,"2,606,399",33.29,5.01,
